 id  |        name        |                description                 |                                                                         effects                                                                         
  43 | 맹공 V             | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  44 | 맹공 VI            | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  45 | 맹공 VII           | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  46 | 맹공 VIII          | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  47 | 맹공 IX            | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  48 | 맹공 X             | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  49 | 일격 I             | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  50 | 일격 II            | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  51 | 일격 III           | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  52 | 일격 IV            | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  53 | 일격 V             | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  54 | 일격 VI            | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  55 | 파멸 I             | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  56 | 파멸 II            | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  57 | 파멸 III           | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  58 | 파멸 IV            | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  59 | 파멸 V             | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  60 | 파멸 VI            | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  61 | 가속 I             | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  62 | 가속 II            | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  63 | 가속 III           | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  64 | 가속 IV            | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  65 | 가속 V             | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  66 | 가속 VI            | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  67 | 가속 VII           | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  68 | 가속 VIII          | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  69 | 출혈의 검          | 물리 공격 시 3행동 출혈 도트               | [{"key": "bleed_on_hit", "type": "passive", "value": 3}]
  70 | 마력 증폭          | 스킬 후 다음 스킬 데미지 +20%              | [{"key": "spell_amp", "type": "passive", "value": 20}]
  71 | 신속의 발          | 쿨타임 1행동 감소                          | [{"key": "cooldown_reduce", "type": "passive", "value": 1}]
  72 | 흡혈 본능          | 치명타 발생 시 HP 5% 회복                  | [{"key": "crit_lifesteal", "type": "passive", "value": 5}]
  73 | 공격 증강 II       | 공격력 +30                                 | [{"stat": "str", "type": "stat", "value": 15}]
  74 | 공격 증강 III      | 공격력 +30                                 | [{"stat": "str", "type": "stat", "value": 15}]
  75 | 치명 증강 II       | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  76 | 신속 증강 II       | 스피드 +60                                 | [{"stat": "spd", "type": "stat", "value": 60}]
  77 | 생명력 I           | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
  78 | 생명력 II          | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
  79 | 생명력 III         | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
  80 | 생명력 IV          | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
  81 | 생명력 V           | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
  82 | 생명력 VI          | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
  83 | 생명력 VII         | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
  84 | 생명력 VIII        | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
  85 | 철벽 I             | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  86 | 철벽 II            | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  87 | 철벽 III           | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  88 | 철벽 IV            | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  89 | 철벽 V             | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  90 | 철벽 VI            | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  91 | 철벽 VII           | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  92 | 철벽 VIII          | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  93 | 정화 I             | 도트 저항 +5%                              | [{"key": "dot_resist", "type": "passive", "value": 5}]
  94 | 정화 II            | 도트 저항 +5%                              | [{"key": "dot_resist", "type": "passive", "value": 5}]
  95 | 정화 III           | 도트 저항 +5%                              | [{"key": "dot_resist", "type": "passive", "value": 5}]
  96 | 정화 IV            | 도트 저항 +5%                              | [{"key": "dot_resist", "type": "passive", "value": 5}]
  97 | 정화 V             | 도트 저항 +5%                              | [{"key": "dot_resist", "type": "passive", "value": 5}]
  98 | 정화 VI            | 도트 저항 +5%                              | [{"key": "dot_resist", "type": "passive", "value": 5}]
  99 | 기동 I             | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 100 | 기동 II            | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 101 | 기동 III           | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 102 | 기동 IV            | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 103 | 회피 I             | 회피 +3%                                   | [{"stat": "dex", "type": "stat", "value": 3}]
 104 | 회피 II            | 회피 +3%                                   | [{"stat": "dex", "type": "stat", "value": 3}]
 105 | 회피 III           | 회피 +3%                                   | [{"stat": "dex", "type": "stat", "value": 3}]
 106 | 회피 IV            | 회피 +3%                                   | [{"stat": "dex", "type": "stat", "value": 3}]
 107 | 수호 본능 II       | HP 40% 이하 시 방어력 +25%                 | [{"key": "guard_instinct", "type": "passive", "value": 25}]
 108 | 저주의 손          | 도트 데미지 +30%                           | [{"key": "dot_amp", "type": "passive", "value": 30}]
 109 | 도트 저항 증강     | 도트 저항 +20%                             | [{"key": "dot_resist", "type": "passive", "value": 20}]
 110 | HP 증강 II         | HP +200                                    | [{"stat": "vit", "type": "stat", "value": 20}]
 111 | HP 증강 III        | HP +200                                    | [{"stat": "vit", "type": "stat", "value": 20}]
 112 | 방어 증강 II       | 방어력 +25                                 | [{"stat": "vit", "type": "stat", "value": 12}]
 113 | 방어 증강 III      | 방어력 +25                                 | [{"stat": "vit", "type": "stat", "value": 12}]
 114 | 회피 증강          | 회피 +8%                                   | [{"stat": "dex", "type": "stat", "value": 8}]
 115 | 근원 힘 I          | 힘 +4                                      | [{"stat": "str", "type": "stat", "value": 4}]
 116 | 근원 힘 II         | 힘 +4                                      | [{"stat": "str", "type": "stat", "value": 4}]
 117 | 근원 민첩 I        | 민첩 +4                                    | [{"stat": "dex", "type": "stat", "value": 4}]
 118 | 근원 민첩 II       | 민첩 +4                                    | [{"stat": "dex", "type": "stat", "value": 4}]
 119 | 근원 지능 I        | 지능 +4                                    | [{"stat": "int", "type": "stat", "value": 4}]
 120 | 근원 지능 II       | 지능 +4                                    | [{"stat": "int", "type": "stat", "value": 4}]
 121 | 근원 체력 I        | 체력 +4                                    | [{"stat": "vit", "type": "stat", "value": 4}]
 122 | 근원 체력 II       | 체력 +4                                    | [{"stat": "vit", "type": "stat", "value": 4}]
 123 | 근원 속도 I        | 스피드 +20                                 | [{"stat": "spd", "type": "stat", "value": 20}]
 124 | 근원 속도 II       | 스피드 +20                                 | [{"stat": "spd", "type": "stat", "value": 20}]
 125 | 근원 치명 I        | 치명타 +4%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 126 | 근원 치명 II       | 치명타 +4%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 127 | 만능 전사          | STR+8, VIT+8                               | [{"stat": "str", "type": "stat", "value": 8}, {"stat": "vit", "type": "stat", "value": 8}]
 128 | 만능 마법사        | INT+8, SPD+30                              | [{"stat": "int", "type": "stat", "value": 8}, {"stat": "spd", "type": "stat", "value": 30}]
 129 | 만능 도적          | DEX+8, CRI+8%                              | [{"stat": "dex", "type": "stat", "value": 8}, {"stat": "cri", "type": "stat", "value": 1}]
 130 | 만능 성직자        | INT+6, VIT+6                               | [{"stat": "int", "type": "stat", "value": 6}, {"stat": "vit", "type": "stat", "value": 6}]
 131 | 광전사의 심장      | 공격력+40%, 스피드+20%, 방어력-30%         | [{"key": "berserker_heart", "type": "passive", "value": 1}, {"stat": "str", "type": "stat", "value": 20}, {"stat": "spd", "type": "stat", "value": 60}]
 132 | 철벽의 의지        | 방어력+50%, HP+20%, 스피드-20%             | [{"key": "iron_will", "type": "passive", "value": 1}, {"stat": "vit", "type": "stat", "value": 25}]
 133 | 마력의 흐름        | 모든 스킬 쿨타임-1행동, HP-15%             | [{"key": "mana_flow", "type": "passive", "value": 1}]
 134 | 집중의 경지        | 치명타+25%, 치명타데미지+50%, 공격력-10%   | [{"key": "focus_mastery", "type": "passive", "value": 1}, {"stat": "cri", "type": "stat", "value": 3}]
 135 | 전사 힘 1          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 136 | 전사 힘 2          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 137 | 전사 힘 3          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 138 | 전사 힘 4          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 139 | 전사 힘 5          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 140 | 전사 힘 6          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 141 | 전사 힘 7          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 142 | 전사 힘 8          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 143 | 전사 힘 9          | 힘 +5                                      | [{"stat": "str", "type": "stat", "value": 5}]
 144 | 전사 체력 1        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 145 | 전사 체력 2        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 146 | 전사 체력 3        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 147 | 전사 체력 4        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 148 | 전사 체력 5        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 149 | 전사 체력 6        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 150 | 전사 체력 7        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 151 | 전사 체력 8        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 152 | 전사 체력 9        | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 153 | 전사 속도 1        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 154 | 전사 속도 2        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 155 | 전사 속도 3        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 156 | 전사 속도 4        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 157 | 전사 속도 5        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 158 | 전사 속도 6        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 159 | 전사 속도 7        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 160 | 전사 속도 8        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 161 | 전사 속도 9        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 162 | 전사 출혈 강화     | 출혈 도트 데미지 +40%                      | [{"key": "bleed_amp", "type": "passive", "value": 40}]
 163 | 전사 흡혈 강화     | 흡혈량 +15%                                | [{"key": "lifesteal_amp", "type": "passive", "value": 15}]
 164 | 전사 반격 강화     | 반사 데미지 +20%                           | [{"key": "reflect_amp", "type": "passive", "value": 20}]
 165 | 전사 철벽 강화     | 실드 효과 +30%                             | [{"key": "shield_amp", "type": "passive", "value": 30}]
 166 | 전사 연타 강화     | 다단히트 +1회                              | [{"key": "extra_hit", "type": "passive", "value": 1}]
 167 | 전사 분노 강화     | 자해 데미지 20% 감소                       | [{"key": "rage_reduce", "type": "passive", "value": 20}]
 168 | 전사 STR 증강 I    | STR +12                                    | [{"stat": "str", "type": "stat", "value": 12}]
 169 | 전사 STR 증강 II   | STR +12                                    | [{"stat": "str", "type": "stat", "value": 12}]
 170 | 전사 VIT 증강 I    | VIT +12                                    | [{"stat": "vit", "type": "stat", "value": 12}]
 171 | 전사 VIT 증강 II   | VIT +12                                    | [{"stat": "vit", "type": "stat", "value": 12}]
 172 | 전사 CRI 증강      | CRI +8%                                    | [{"stat": "cri", "type": "stat", "value": 1}]
 173 | 전사 SPD 증강      | SPD +50                                    | [{"stat": "spd", "type": "stat", "value": 50}]
 174 | 불굴의 투혼        | HP30%이하 공격력+60%, HP회복량-30%         | [{"key": "undying_fury", "type": "passive", "value": 60}]
 175 | 전쟁의 신          | 물리데미지+35%, 흡혈+10%, 스킬쿨+1         | [{"key": "war_god", "type": "passive", "value": 35}]
 176 | 반격의 화신        | 피격데미지 30%반사, 공격력-20%             | [{"key": "counter_incarnation", "type": "passive", "value": 30}]
 177 | 마법사 지능 1      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 178 | 마법사 지능 2      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 179 | 마법사 지능 3      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 180 | 마법사 지능 4      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 181 | 마법사 지능 5      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 182 | 마법사 지능 6      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 183 | 마법사 지능 7      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 184 | 마법사 지능 8      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 185 | 마법사 지능 9      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 186 | 마법사 속도 1      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 187 | 마법사 속도 2      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 188 | 마법사 속도 3      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 189 | 마법사 속도 4      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 190 | 마법사 속도 5      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 191 | 마법사 속도 6      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 192 | 마법사 속도 7      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 193 | 마법사 속도 8      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 194 | 마법사 속도 9      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 195 | 마법사 치명 1      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 196 | 마법사 치명 2      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 197 | 마법사 치명 3      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 198 | 마법사 치명 4      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 199 | 마법사 치명 5      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 200 | 마법사 치명 6      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 201 | 마법사 치명 7      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 202 | 마법사 치명 8      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 203 | 마법사 치명 9      | 치명타 +3%                                 | [{"stat": "cri", "type": "stat", "value": 1}]
 204 | 마법사 도트 강화   | 도트 데미지 +40%                           | [{"key": "dot_amp", "type": "passive", "value": 40}]
 205 | 마법사 제어 강화   | 게이지 조작 효과 +30%                      | [{"key": "gauge_control_amp", "type": "passive", "value": 30}]
 206 | 마법사 스턴 강화   | 스턴 지속 +1행동                           | [{"key": "stun_extend", "type": "passive", "value": 1}]
 207 | 마법사 동결 강화   | 동결 지속 +1행동                           | [{"key": "freeze_extend", "type": "passive", "value": 1}]
 208 | 마법사 화염 강화   | 화상 데미지 +50%                           | [{"key": "burn_amp", "type": "passive", "value": 50}]
 209 | 마법사 냉기 강화   | 냉기 스피드 감소 +15%                      | [{"key": "frost_amp", "type": "passive", "value": 15}]
 210 | 마법사 INT 증강 I  | INT +12                                    | [{"stat": "int", "type": "stat", "value": 12}]
 211 | 마법사 INT 증강 II | INT +12                                    | [{"stat": "int", "type": "stat", "value": 12}]
 212 | 마법사 SPD 증강 I  | SPD +50                                    | [{"stat": "spd", "type": "stat", "value": 50}]
 213 | 마법사 SPD 증강 II | SPD +50                                    | [{"stat": "spd", "type": "stat", "value": 50}]
 214 | 마법사 CRI 증강    | CRI +8%                                    | [{"stat": "cri", "type": "stat", "value": 1}]
 215 | 마법사 VIT 증강    | VIT +10                                    | [{"stat": "vit", "type": "stat", "value": 10}]
 216 | 원소 폭주          | 도트데미지+80%, 도트지속+1, 직접스킬-20%   | [{"key": "elemental_storm", "type": "passive", "value": 80}]
 217 | 시간 지배자        | 게이지조작+100%, 공격쿨+2                  | [{"key": "time_lord", "type": "passive", "value": 100}]
 218 | 마력 과적          | 스킬데미지+50%, 3행동마다 HP5%소모         | [{"key": "mana_overload", "type": "passive", "value": 50}]
 219 | 성직자 지능 1      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 220 | 성직자 지능 2      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 221 | 성직자 지능 3      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 222 | 성직자 지능 4      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 223 | 성직자 지능 5      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 224 | 성직자 지능 6      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 225 | 성직자 지능 7      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 226 | 성직자 지능 8      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 227 | 성직자 지능 9      | 지능 +5                                    | [{"stat": "int", "type": "stat", "value": 5}]
 228 | 성직자 체력 1      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 229 | 성직자 체력 2      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 230 | 성직자 체력 3      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 231 | 성직자 체력 4      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 232 | 성직자 체력 5      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 233 | 성직자 체력 6      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 234 | 성직자 체력 7      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 235 | 성직자 체력 8      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 236 | 성직자 체력 9      | 체력 +5                                    | [{"stat": "vit", "type": "stat", "value": 5}]
 237 | 성직자 속도 1      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 238 | 성직자 속도 2      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 239 | 성직자 속도 3      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 240 | 성직자 속도 4      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 241 | 성직자 속도 5      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 242 | 성직자 속도 6      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 243 | 성직자 속도 7      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 244 | 성직자 속도 8      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 245 | 성직자 속도 9      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
 246 | 성직자 치유 강화   | 회복량 +30%                                | [{"key": "heal_amp", "type": "passive", "value": 30}]
 247 | 성직자 실드 강화   | 실드 효과 +40%                             | [{"key": "shield_amp", "type": "passive", "value": 40}]
 248 | 성직자 반사 강화   | 반사 데미지 +25%                           | [{"key": "reflect_amp", "type": "passive", "value": 25}]
 249 | 성직자 심판 강화   | 공격 스킬 데미지 +25%                      | [{"key": "judge_amp", "type": "passive", "value": 25}]
 250 | 성직자 신성 도트   | 신성 도트 +40%                             | [{"key": "holy_dot_amp", "type": "passive", "value": 40}]
 251 | 성직자 부활 강화   | 부활 HP +20%                               | [{"key": "resurrect_amp", "type": "passive", "value": 20}]
 252 | 성직자 INT 증강 I  | INT +12                                    | [{"stat": "int", "type": "stat", "value": 12}]
 253 | 성직자 INT 증강 II | INT +12                                    | [{"stat": "int", "type": "stat", "value": 12}]
 254 | 성직자 VIT 증강 I  | VIT +12                                    | [{"stat": "vit", "type": "stat", "value": 12}]
 255 | 성직자 VIT 증강 II | VIT +12                                    | [{"stat": "vit", "type": "stat", "value": 12}]
 256 | 성직자 SPD 증강    | SPD +50                                    | [{"stat": "spd", "type": "stat", "value": 50}]
 257 | 성직자 CRI 증강    | CRI +8%                                    | [{"stat": "cri", "type": "stat", "value": 1}]
 258 | 신성한 심판자      | 공격스킬+45%, 보조-30%                     | [{"key": "holy_judge", "type": "passive", "value": 45}]
 259 | 성역의 수호자      | 실드/회복+50%, 공격력-25%                  | [{"key": "sanctuary_guard", "type": "passive", "value": 50}]
 260 | 균형의 사도        | 공격/보조 모두+20%, 다른키스톤중복불가     | [{"key": "balance_apostle", "type": "passive", "value": 20}]
 261 | 도적 민첩 1        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
 262 | 도적 민첩 2        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
 263 | 도적 민첩 3        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
 264 | 도적 민첩 4        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
 265 | 도적 민첩 5        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
 266 | 도적 민첩 6        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
 267 | 도적 민첩 7        | 민첩 +5                                    | [{"stat": "dex", "type": "stat", "value": 5}]
